"filename", "language", "Dart", "comment", "blank", "total"
"d:\Programming\Projects\Flutter Projects\Work\Active\kw_store\lib\modules\profile\presentation\screens\address_screen.dart", "Dart", 0, 1, 0, 1
"Total", "-", 0, 1, 0, 1
